source_indicator_id,ministry_code,ministry_name,fiscal_year,strategic_goal_number,program_goal_number,source_program_code,performance_program_name,manual_indicator_name_plan,manual_indicator_name_report,manual_indicator_unit,manual_indicator_direction_raw,manual_planned_target_raw,manual_actual_value_raw,manual_official_achievement_rate_raw,pdf_plan_program_name,pdf_plan_indicator_name,pdf_plan_unit,pdf_plan_direction_raw,pdf_plan_target_raw,documented_change_target_before_raw,documented_change_target_after_raw,documented_change_reason_raw,documented_change_source_file,documented_change_split_pdf_page,documented_change_source_pdf_page,documented_change_printed_page,documented_change_ocr_conflict,documented_change_report_conflict,pdf_report_program_name,pdf_report_indicator_name,pdf_report_unit,pdf_report_target_raw,pdf_report_actual_raw,pdf_report_official_achievement_rate_raw,planned_target_numeric_manual,planned_target_numeric_pdf,report_target_numeric_pdf,actual_value_numeric_manual,actual_value_numeric_pdf,official_achievement_rate_numeric_manual,official_achievement_rate_numeric_pdf,computed_achievement_rate,plan_target_change_abs,plan_target_change_pct,report_target_change_abs,report_target_change_pct,report_actual_change_abs,report_actual_change_pct,report_achievement_rate_change_abs_pp,plan_vs_report_target_change_abs,plan_vs_report_target_change_pct,plan_name_match_status,plan_target_match_status,report_name_match_status,report_target_match_status,report_actual_match_status,report_achievement_rate_match_status,page_evidence_status,ocr_status,overall_reconciliation_status,review_reason,review_instruction,reviewer,review_status,review_note,review_confirmed_at,plan_source_file,plan_split_pdf_page,plan_source_pdf_page,plan_printed_page,plan_source_text,report_source_file,report_split_pdf_page,report_source_pdf_page,report_printed_page,report_source_text,source_trace
MOHW-2022-I1-01,075,보건복지부,2022,Ⅰ,Ⅰ-1,,기초생활보장,전체 빈곤층 대비 복 지수혜 비율,전체 빈곤층 대비 복 지수혜 비율,%,,29.5,36.6,100.3,,전체 빈곤층 대비 복 지수혜 비율,,,36.5,29.5,36.5,"22년 목표치는 ‘22년 총인구 추계값(’21년 통계청 장래인구추계), ‘22년 상대적 빈곤율 가정, ’21년 복지수혜자수를 반영하여 36.5%로 수정",2022년도 성과보고서_보건복지부-243-333.pdf,64.0,306.0,,False,False,,전체 빈곤층 대비 복 지수혜 비율,,36.5,(36.6),100.3,29.5,36.5,36.5,36.6,36.6,100.3,100.3,,7.0,23.728813559322035,7.0,23.728813559322035,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,VALUE_MISMATCH,EXACT_MATCH,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6;REPORT_TARGET_CHANGE_CONFIRMED_BY_별첨6,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽) / [보고서] 2022년도 성과보고서_보건복지부.pdf 31쪽(원본 31쪽) / [별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 64쪽(원본 306쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,31,31,,"전체 빈곤층 대비 
복지수혜 비율
(%)
복지수혜자 수(A)/전체 빈곤층(B) 
× 100
- 복지수혜자 수(A) = 기초생활보
장수급자 수 + 차상위본인부담
경감 수급자 수(중위소득 50% 
이하) + 차상위자활 수급자수(중
위소득 50% 이하)
* 행복e음 자료 추출
- 전체빈곤층(B) = 주민등록인구수(행
정안전부) × 빈곤율*(통계청, 가계금
융․복지조사(패널))
* 균등화 처분가능소득 상대적 빈
곤율 : 균등화 처분가소득의 중위
소득 50%이하에 속한 인구수로 
나눈 비율
목표
22.5
23.8
26.4
36.5
실적
25.6
27.8
34.0
(36.6)
달성률(%)
113.8
116.8
128.8
100.3",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOHW-2022-I2-01,075,보건복지부,2022,Ⅰ,Ⅰ-2,,노숙인의사상자지원,거리노숙인 위기관리 사업 상담건수,거리노숙인 위기관리 사업 상담건수,건,,9474,10431,110.1,,,,,,,,,,,,,False,False,,거리노숙인 위기관리 사업 상담건수,,9474,10431,110.1,9474.0,,9474.0,10431.0,10431.0,110.1,110.1,,,,0.0,0.0,0.0,0.0,0.0,,,PDF_NOT_FOUND,PDF_NOT_FOUND,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,PDF_MISSING_MANUAL_PRESENT,OCR_REQUIRED,OCR_REQUIRED,,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,38,38,,"위기관리사업 
상담건수
(건)
▪ 측정산식
   위기관리사업 상담건수(건)
목표
신규
신규
신규
9474
실적
신규
신규
-
10431
달성률(%)
-
-
-
110.1",plan:NONE;plan_method:NONE;report_method:FULL_TEXT
MOHW-2022-I2-02,075,보건복지부,2022,Ⅰ,Ⅰ-2,,노숙인의사상자지원,노숙인 자활프로그램 참여자 중 자활 성공율,노숙인 자활프로그램 참여자 중 자활 성공율,%,,7.75,7.5,96.8,,,,,,,,,,,,,False,False,,노숙인 자활프로그램 참여자 중 자활 성공율,,7.75,7.5,96.8,7.75,,7.75,7.5,7.5,96.8,96.8,,,,0.0,0.0,0.0,0.0,0.0,,,PDF_NOT_FOUND,PDF_NOT_FOUND,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,PDF_MISSING_MANUAL_PRESENT,OCR_REQUIRED,OCR_REQUIRED,,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,38,38,,"참여자 중 자활 
성공율
(%)
 ▪ 측정산식
   (자활성공자(사회복귀자) 수/ 
자활프로그램 참여자수) *100
목표
5.65
7.55
7.65
7.75
실적
6.1
11.3
7.8
7.5
달성률(%)
108.0
149.7
102.0
96.8",plan:NONE;plan_method:NONE;report_method:FULL_TEXT
MOHW-2022-I3-01,075,보건복지부,2022,Ⅰ,Ⅰ-3,,장애인생활안정 및 재활 지원,장애인 현금급여 수급 률,장애인 현금급여 수급 률,%,,28.8,29.2,101.4,,장애인 현금급여 수급 률,,,28.8,28.8,28.8,장애인활동지원 사업의 예산액이 변경되었으나 프로그램 성과 지표에 직접적으로 영향을 미치지 않아 목표치 변경을 하지 않음.,2022년도 성과보고서_보건복지부-243-333.pdf,64.0,306.0,,False,False,,장애인 현금급여 수급 률,,28.8,29.2,101.4,28.8,28.8,28.8,29.2,29.2,101.4,101.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 64쪽(원본 306쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,46,46,,"장애인 현금급여 
수급률
(%)
○ 측정산식 : (장애인연금 수급자
수 + 장애수당 수급자수 + 장애
아동수당 수급자수 / 등록장애
인수)*100
  - 장애인연금수급자수·장애수당
수급자수·장애아동수당수급
자수 : 당해연도말 해당급여를 
받고있는 자의 수
  - 등록장애인수 : 당해연도말 등
록한 장애인 수
 ▪ 측정방법 
    - 측정대상기간 : ’22.1.1∼ 
’22.12.31 
    - 실적치 집계 완료 시점 : 
’22.12월말 예정
    - 측정수행기관 : 직접수행(행
복e음시스템 통계자료)
    - 측정대상 표본수 및 선정방법 
: 해당없음
목표
28.4
28.4
28.5
28.8
실적
28.7
29.3
29.4
29.2
달성률(%)
101.1
103.2
103.2
101.4",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOHW-2022-I3-02,075,보건복지부,2022,Ⅰ,Ⅰ-3,,장애인생활안정 및 재활 지원,기초생활보장수급자 중 장애인 비율,기초생활보장수급자 중 장애인 비율,%,하향,25,23,108,,기초생활보장수급자 중 장애인 비율,,,25.0,25.0,25.0,장애인활동지원 사업의 예산액이 변경되었으나 프로그램 성과 지표에 직접적으로 영향을 미치지 않아 목표치 변경을 하지 않음. * 보조사업 성과지표인 장애인 활동지원 수급율 지표만 변경 : ‘22년 성과계획서 입력 당시에,2022년도 성과보고서_보건복지부-243-333.pdf,65.0,307.0,,False,False,,기초생활보장수급자 중 장애인 비율,,25.0,23.0,108.0,25.0,25.0,25.0,23.0,23.0,108.0,108.0,108.69565217391303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 65쪽(원본 307쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,46,46,,"급자 중 장애인 
비율
(%)(하향지표)
 ○ 측정산식 : (등록장애인인 기초
생활보장수급자수/기초생활
보장수급자수)*100
 ▪ 측정방법
    - 측정대상기간 : 2022.1.1.~ 
12.31
    - 실적치 집계 만료 시점 : 
‘22.12월말
    - 측정수행기관 : 사회보장정
보원
    - 측정대상 표본수 및 선정방
법 : 행복e음에 등록된 보장
중인 기초생활보장수급자 
중 장애인으로 등록된 자 수 
목표
신규
신규
신규
25.0
실적
신규
신규
신규
23.0
달성률(%)
-
-
-
108.0",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOHW-2022-I4-01,075,보건복지부,2022,Ⅰ,Ⅰ-4,,국립재활원,국립재활원 고객만족 도,국립재활원 고객만족 도,점,,85.9,86.3,100.5,,국립재활원 고객만족 도,,,85.9,85.9,85.9,추경재원 마련 위한 공통경비 감액 등으로 본 지표와는 상관관계가 없음,2022년도 성과보고서_보건복지부-243-333.pdf,65.0,307.0,,False,False,,국립재활원 고객만족 도,,85.9,86.3,100.5,85.9,85.9,85.9,86.3,86.3,100.5,100.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 65쪽(원본 307쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,54,54,,"국립재활원 
고객만족도
(점)
설문지 취합하여 5점 척도로 평균값 
산출 후 PCSI모델에 따른 가중치를 
부여하여 100점 만점으로 종합점수 
산출
목표
86.5
85.6
85.6
85.9
실적
86.5
85.6
87.4
86.3
달성률(%)
100.0
100.0
102.1
100.5",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOHW-2022-I4-02,075,보건복지부,2022,Ⅰ,Ⅰ-4,,국립재활원,치료효과율,치료효과율,점,,10.6,10.7,100.9,,치료효과율,,,10.6,10.6,10.6,추경재원 마련 위한 공통경비 감액 등으로 본 지표와는 상관관계가 없음,2022년도 성과보고서_보건복지부-243-333.pdf,65.0,307.0,,False,False,,치료효과율,,10.6,10.7,100.9,10.6,10.6,10.6,10.7,10.7,100.9,100.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 65쪽(원본 307쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,2.0,324.0,,wan 17 22 년 프 래 모 포 프 로 그 램 목 표 성과 | aes | 정 량 분 야 정 성 프 로 그 램 목 표 | -4. 재 활 le 연 구 교 육 을 통 하 여 국 가 중 앙 재 활 기 관 으 로 서 의 ALA 역 한 소 해 르 TS 0) 국 립 재 활 원 고 객 만 족 일 반 재 도 정 85.9( 점 ) 국 립 재 활 원 meus 일 반 재 @ 치 료 효 과율 = 10.6( 점 ) 프 로 그 램 목 표 1-5. 지 역 복 지 서 비 스 활 성 화 Old 사 회 복 지 기 반 조 성 = ( 회 복 지 기 반 조 성 @ 사 례 관 리 가 구 위 기 상 일 반 재 。 황 해 소율 x 88.7(%) 전 략 목 표 |. 맞 춤형 보 건 인 프 라 HSS Set 국 민 의 건 강 보장 프 로 그 램 목 표,2022년도 성과보고서_보건복지부.pdf,54,54,,"(점)
ㅇ 측정산식 : 치료효과율 = [{(뇌병
변환자 퇴원점수의 합-입원점
수의 합)/평가환자수}+{(척수손
상환자 퇴원점수의 합-입원점
수의 합)/평가환자수}]
2(뇌병변환자군+척수손상환자군)
K-MBI(modified bathel index, 뇌병변 
환자 일상생활동작평가), SCIM-Ⅲ 
(spinal cord independence measure, 
척수손상환자 독립성평가)에 대하
여 입퇴원시 평가점수를 측정하여 
산출된 점수 결과
목표
9.9
10.1
10.5
10.6
실적
10.0
10.8
10.4
10.7
달성률(%)
101.0
106.9
99.0
100.9",plan:별첨1;plan_method:OCR;report_method:FULL_TEXT
MOHW-2022-I5-01,075,보건복지부,2022,Ⅰ,Ⅰ-5,,사회복지기반조성,복지사각지대 지원율,복지사각지대 지원율,%,,35,50.1,143.1,,복지사각지대 지원율,,,35,35,35,추경재원 마련 위한 공통경비 감액 등으로 본 지표와는 상관관계가 없음,2022년도 성과보고서_보건복지부-243-333.pdf,65.0,307.0,,False,False,,복지사각지대 지원율,,35,50.1,143.1,35.0,35.0,35.0,50.1,50.1,143.1,143.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 65쪽(원본 307쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,64,64,,"복지사각지대 
지원율
(%)
ㅇ 측정산식 : (실적마감일 기준*)
복지사각지대 발굴대상자** 중 
조치완료 
대상자***/복지사각
지대 발굴대상자
  * 실적마감일은 당해년도 지자
체 합동평가 실적산정기간과 
동일함
  ** 사각지대 발굴관리 시스템을 
통해 예측되어 읍면동에 중앙
발굴로 통보된 대상자
  *** 공공서비스(기초, 차상위, 긴
급 등) 및 민간서비스(공동모
금회, 푸드뱅크 등) 수혜자
목표
신규
신규
신규
35
실적
신규
신규
신규
50.1
달성률(%)
-
-
-
143.1",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOHW-2022-I5-02,075,보건복지부,2022,Ⅰ,Ⅰ-5,,사회복지기반조성,사례관리 가구 위기상 황 해소율,사례관리 가구 위기상 황 해소율,%,,88.7,89.1,100.5,,사례관리 가구 위기상 황 해소율,,,88.7,88.7,88.7,추경재원 마련 위한 공통경비 감액 등으로 본 지표와는 상관관계가 없음,2022년도 성과보고서_보건복지부-243-333.pdf,65.0,307.0,,False,False,,사례관리 가구 위기상 황 해소율,,88.7,89.1,100.5,88.7,88.7,88.7,89.1,89.1,100.5,100.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 65쪽(원본 307쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,64,64,,"사례관리 가구 
위기상황 해소율
(%)
ㅇ (‘22년 긍정적 종결 대상 수)/ 
(’22년 전체 종결 대상 수)]×100 
  * 사례관리가구의 위기상황 해소
를 긍정적인 결과(장기목표달
성, 단기목표달성, 상황호전)로 
종결된 사례관리가구 비율로 
산출
목표
신규
신규
신규
88.7
실적
신규
신규
신규
89.1
달성률(%)
-
-
-
100.5",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOHW-2022-II1-01,075,보건복지부,2022,Ⅱ,Ⅱ-1,,보건의료서비스지원,보건의료연구 정책연 계 실적,보건의료연구 정책연 계 실적,건,,11,12,109.1,,보건의료연구 정책연 계 실적,,,11,11,11,예산증감사항으로 본 지표와 관계 없음,2022년도 성과보고서_보건복지부-243-333.pdf,66.0,308.0,,False,False,,보건의료연구 정책연 계 실적,,11,12,109.1,11.0,11.0,11.0,12.0,12.0,109.1,109.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 66쪽(원본 308쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,74,74,,"보건의료연구 
정책연계 실적
(건)
최근 3개년 보건의료정책 지원 및 건강보험
정책 지원 건수(ⓐ+ⓑ+◯
c )의 평균치 
ⓐ 정부 아젠다 지원
ⓑ 정부시책 반영
◯
c 법률 제·개정 지원
목표
8.8
9.9
10.9
11
실적
9.0
10
11
12
달성률(%)
102.3
101.0
100.9
109.1",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOHW-2022-II1-02,075,보건복지부,2022,Ⅱ,Ⅱ-1,,보건의료서비스지원,요양병원 중간현장조 사 개선율,요양병원 중간현장조 사 개선율,%,,88,88.3,100.3,,요양병원 중간현장조 사 개선율,,,88,88,88,예산증감사항으로 본 지표와 관계 없음,2022년도 성과보고서_보건복지부-243-333.pdf,66.0,308.0,,False,False,,요양병원 중간현장조 사 개선율,,88,88.3,100.3,88.0,88.0,88.0,88.3,88.3,100.3,100.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 66쪽(원본 308쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,74,74,,"중간현장조사 
개선율
(%)
중간현장조사 후 당해연도 ‘개선완료’한 병
원 수/ 중간현장조사 시행 후 당해연도 
개선대상 요양병원 수×100
목표
85
85
88
88
실적
90.6
-
88.6
88.3
달성률(%)
106.6
-
100.7
100.3",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOHW-2022-II2-01,075,보건복지부,2022,Ⅱ,Ⅱ-2,,공공보건의료확충,공공보건의료계획 시 행결과 평가점수,공공보건의료계획 시 행결과 평가점수,점,,86.8,86.8,100,,공공보건의료계획 시 행결과 평가점수,,,86.8,86.8,86.8,감염병 대응 지원체계 구축 및 운영 예산액이 변동되었으나 프로그램 성과지표에 직접적으로 영향을 미치지 않아 목표치를 변경하지 않음,2022년도 성과보고서_보건복지부-243-333.pdf,66.0,308.0,,False,False,,공공보건의료계획 시 행결과 평가점수,,,,,86.8,86.8,,86.8,,100.0,,,0.0,0.0,,,,,,,,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,PDF_MISSING_MANUAL_PRESENT,PDF_MISSING_MANUAL_PRESENT,PDF_MISSING_MANUAL_PRESENT,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽) / [보고서] 2022년도 성과보고서_보건복지부-243-333.pdf 8쪽(원본 250쪽) / [별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 66쪽(원본 308쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부-243-333.pdf,8,250,,획 시행결과 평가,plan:별첨6만;plan_method:TEXT;report_method:TEXT
MOHW-2022-II2-02,075,보건복지부,2022,Ⅱ,Ⅱ-2,,공공보건의료확충,지역거점공공병원 운 영평가 평균점수,지역거점공공병원 운 영평가 평균점수,점,,78.5,77.4,98.6,,지역거점공공병원 운 영평가 평균점수,,,78.5,78.5,78.5,감염병 대응 지원체계 구축 및 운영 예산액이 변동되었으나 프로그램 성과지표에 직접적으로 영향을 미치지 않아 목표치를 변경하지 않음,2022년도 성과보고서_보건복지부-243-333.pdf,66.0,308.0,,False,False,,지역거점공공병원 운 영평가 평균점수,,78.5,77.4,98.6,78.5,78.5,78.5,77.4,77.4,98.6,98.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 66쪽(원본 308쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,88,88,,"원 운영평가 
평균점수
(점)
지역거점공공병원 운영평가 총 점수/
지역거점공공병원수
- 측정대상:지방의료원 및 적십자병원
- 측정대상기간: '21.1.1.~'21.12.31.
- 표본수:전체41개소
- 조사영역:양질의 의료, 합리적 운영, 공
익적 보건의료서비스, 책임운영 등
목표
신규
신규
신규
78.5
실적
신규
신규
-
77.4
달성률(%)
-
-
-
98.6",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOHW-2022-II3-01,075,보건복지부,2022,Ⅱ,Ⅱ-3,,응급의료체계운영지원,중증응급환자 적정시 간내 최종치료기관 도착 비율,중증응급환자 적정시 간내 최종치료기관 도착 비율,%,,51.7,49.6,95.9,,중증응급환자 적정시 간내 최종치료기관 도착 비율,,,51.7,51.7,51.7,예산증감사항으로 본 지표와 관계 없음,2022년도 성과보고서_보건복지부-243-333.pdf,66.0,308.0,,False,False,,중증응급환자 적정시 간내 최종치료기관 도착 비율,,51.7,(49.6),95.9,51.7,51.7,51.7,49.6,49.6,95.9,95.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 66쪽(원본 308쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,98,98,,"최종치료기관 
도착비율
(%)
발병 24시간이내 환자 중 급성 심혈관 
질환 2시간 이내, 허혈성 뇌졸증 3시간 
이내, 중증외상 1시간 이내 내원하고 진
료결과가 입원인 환자 수) ×100 / (발병 
24시간 이내 내원한 급성심혈관, 허혈성뇌
졸중,중증외상 입원환자 수)
목표
53.1
53.1
51.7
51.7
실적
52.1
51.7
49.8
(49.6)
달성률(%)
98.1
97.4
96.3
95.9",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
MOHW-2022-II3-02,075,보건복지부,2022,Ⅱ,Ⅱ-3,,응급의료체계운영지원,중증환자 최종치료 제 공률,중증환자 최종치료 제 공률,%,,90.6,91.6,101.1,,중증환자 최종치료 제 공률,,,90.6,90.6,90.6,예산증감사항으로 본 지표와 관계 없음,2022년도 성과보고서_보건복지부-243-333.pdf,66.0,308.0,,False,False,,중증환자 최종치료 제 공률,,90.6,91.6,101.1,90.6,90.6,90.6,91.6,91.6,101.1,101.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MATCH_AFTER_CHANGE,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,EXACT_MATCH,OCR_REQUIRED,OCR_REQUIRED,PLAN_TARGET_FROM_CHANGE_TABLE_ONLY;TARGET_CHANGE_REASON_DOCUMENTED_IN_별첨6,[계획서] 2022년도 성과계획서_보건복지부-323-433.pdf ?쪽(원본 ?쪽) / [별첨6 변경표] 2022년도 성과보고서_보건복지부-243-333.pdf 66쪽(원본 308쪽),,,,,2022년도 성과계획서_보건복지부-323-433.pdf,,,,,2022년도 성과보고서_보건복지부.pdf,98,98,,"중증환자 
최종치료 제공률
(%)
권역응급의료센터에 내원한 최종치료
를 제공한 환자/권역응급의료센터에 
내원한 최종치료 필요 질환 환자*100
목표
신규
신규
신규
90.6
실적
신규
신규
신규
91.6
달성률(%)
0.0
0.0
0.0
101.1",plan:별첨6만;plan_method:TEXT;report_method:FULL_TEXT
